PostblackDeath,Site name,Site Code,Context,Period for SRP98 (14 = 1120-1200; 15 = 1200-1250),"Sex (0 is male, 1 is female)",Age - point estimate
0,St Nicholas Shambles,GPO75,5062,,x,0.25
0,St Nicholas Shambles,GPO75,5250,,x,0.5
0,St Nicholas Shambles,GPO75,5227,,x,0.75
0,St Nicholas Shambles,GPO75,5314a,,x,1
0,St Nicholas Shambles,GPO75,5129,,x,1.5
0,St Nicholas Shambles,GPO75,5130,,x,1.5
0,St Nicholas Shambles,GPO75,5212,,x,1.5
0,St Nicholas Shambles,GPO75,5254,,x,1.5
0,St Nicholas Shambles,GPO75,5143,,x,1.5
0,St Nicholas Shambles,GPO75,5095,,x,1.5
0,St Nicholas Shambles,GPO75,5057,,x,1.5
0,St Nicholas Shambles,GPO75,5243a,,z,1.5
0,St Nicholas Shambles,GPO75,5210,,x,2
0,St Nicholas Shambles,GPO75,5247,,x,2
0,St Nicholas Shambles,GPO75,5171a,,x,2.5
0,St Nicholas Shambles,GPO75,5125a,,x,3
0,St Nicholas Shambles,GPO75,5136,,x,3
0,St Nicholas Shambles,GPO75,5208,,x,3
0,St Nicholas Shambles,GPO75,5140b,,x,3.5
0,St Nicholas Shambles,GPO75,5041,,x,4
0,St Nicholas Shambles,GPO75,5234,,x,4
0,St Nicholas Shambles,GPO75,5014.1,,x,4
0,St Nicholas Shambles,GPO75,5029,,x,4
0,St Nicholas Shambles,GPO75,5066,,X,5
0,St Nicholas Shambles,GPO75,5228,,x,5
0,St Nicholas Shambles,GPO75,5214,,x,5
0,St Nicholas Shambles,GPO75,5322,,x,5
0,St Nicholas Shambles,GPO75,5295,,x,5
0,St Nicholas Shambles,GPO75,5170,,x,5
0,St Nicholas Shambles,GPO75,5221,,x,5
0,St Nicholas Shambles,GPO75,5090,,x,5
0,St Nicholas Shambles,GPO75,5138,,x,6
0,St Nicholas Shambles,GPO75,5196,,x,6
0,St Nicholas Shambles,GPO75,5103,,x,6
0,St Nicholas Shambles,GPO75,5119,,x,6.5
0,St Nicholas Shambles,GPO75,5043,,x,7
0,St Nicholas Shambles,GPO75,5128,,x,7
0,St Nicholas Shambles,GPO75,5058,,x,7
0,St Nicholas Shambles,GPO75,5035,,x,8
0,St Nicholas Shambles,GPO75,5000,,x,8
0,St Nicholas Shambles,GPO75,5259,,x,8
0,St Nicholas Shambles,GPO75,5859,,x,8
0,St Nicholas Shambles,GPO75,5260,,x,8
0,St Nicholas Shambles,GPO75,5193,,x,9
0,St Nicholas Shambles,GPO75,5098,,x,9
0,St Nicholas Shambles,GPO75,5310,,x,9.5
0,St Nicholas Shambles,GPO75,5318,,x,9.5
0,St Nicholas Shambles,GPO75,5075,,x,10
0,St Nicholas Shambles,GPO75,5313,,x,10
0,St Nicholas Shambles,GPO75,5204,,x,10.5
0,St Nicholas Shambles,GPO75,5217c,,x,11
0,St Nicholas Shambles,GPO75,5081,,x,11.5
0,St Nicholas Shambles,GPO75,5152,,x,11.5
0,St Nicholas Shambles,GPO75,5253,,x,11.5
0,St Nicholas Shambles,GPO75,5167,,x,12
0,St Nicholas Shambles,GPO75,5111,,x,12.5
0,St Nicholas Shambles,GPO75,5223,,x,12.5
0,St Nicholas Shambles,GPO75,5056,,x,14.5
0,St Nicholas Shambles,GPO75,5080,,0,15
0,St Nicholas Shambles,GPO75,5169,,0,15
0,St Nicholas Shambles,GPO75,5308,,1,15
0,St Nicholas Shambles,GPO75,5137,,1,15
0,St Nicholas Shambles,GPO75,5140a,,1,15
0,St Nicholas Shambles,GPO75,5006,,1,15
0,St Nicholas Shambles,GPO75,5161,,1,15
0,St Nicholas Shambles,GPO75,5280,,1,15
0,St Nicholas Shambles,GPO75,5172,,1,15
0,St Nicholas Shambles,GPO75,5244.1,,1,15
0,St Nicholas Shambles,GPO75,5092,,1,15
0,St Nicholas Shambles,GPO75,5126,,x,15
0,St Nicholas Shambles,GPO75,5173,,x,15
